id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2020-686325,2020-08-14,000001,Vente,187000,83,,AV GRANDCLEMENT,0510,69120,69256,Vaulx-en-Velin,69,,,69256000BK0317,,,,,,,,,,,,,0,1,Maison,55,3,S,sols,,,181,4.925268,45.771752
2020-686326,2020-08-17,000001,Vente,153000,98,,RUE DU PUITS VIEUX,1230,69800,69290,Saint-Priest,69,,,69290000CK0093,,,353,,,,,,,,,,1,3,Dépendance,,0,,,,,,4.955763,45.697867
2020-686326,2020-08-17,000001,Vente,153000,98,,RUE DU PUITS VIEUX,1230,69800,69290,Saint-Priest,69,,,69290000CK0093,,,169,84.88,,,,,,,,,1,2,Appartement,83,4,,,,,,4.955763,45.697867
2020-686327,2020-07-24,000001,Vente,235000,,,POIZAT,B030,69780,69283,Mions,69,,,69283000AX0498,,,,,,,,,,,,,0,,,,,S,sols,,,90,4.95337,45.66022
2020-686327,2020-07-24,000001,Vente,235000,,,POIZAT,B030,69780,69283,Mions,69,,,69283000AX0508,,,,,,,,,,,,,0,,,,,J,jardins,POTAG,Jardin potager,509,4.952871,45.659958
2020-686327,2020-07-24,000001,Vente,235000,,,POIZAT,B030,69780,69283,Mions,69,,,69283000AX0510,,,,,,,,,,,,,0,,,,,J,jardins,POTAG,Jardin potager,979,4.953,45.660063
2020-686328,2020-08-06,000001,Vente,496000,5,,IMP DES COTIERES,0048,69780,69298,Toussieu,69,,,69298000AI0104,,,,,,,,,,,,,0,1,Maison,125,5,S,sols,,,900,4.981764,45.65483
2020-686329,2020-07-27,000001,Vente,381430,9,,IMP BELLEVUE,0020,69330,69285,Pusignan,69,,,692850000E0385,,,,,,,,,,,,,0,1,Maison,200,8,S,sols,,,1072,5.060452,45.757527
2020-686329,2020-07-27,000001,Vente,381430,,,MURIAU PONT,B030,69330,69285,Pusignan,69,,,692850000E0401,,,,,,,,,,,,,0,,,,,S,sols,,,2101,5.060234,45.757212
2020-686329,2020-07-27,000001,Vente,381430,,,MURIAU PONT,B030,69330,69285,Pusignan,69,,,692850000E0402,,,,,,,,,,,,,0,,,,,S,sols,,,150,5.061631,45.757741
